Manufacturer,Model,Application(s),Thrust (dry) [lbf],Thrust (wet) [lbf],SFC (dry) [lb/lbf hr],SFC (wet) [lb/lbf hr],Airflow (static) [lb/s],OPR (static),FPR (static),BPR (static),Thrust (cruise) [lbf],SFC (cruise) [lb/lbf hr],Cruise Speed [M],Cruise Altitude [ft],Turbine Inlet Temperature [K],Number of Spools,Fan Stages,LPC Stages,HPC Stages,HPT Stages,IPT Stages,LPT Stages,Fan Diameter [in],Length [in],Width/Diameter [in],Dry Weight [lb]
GE,CF34-8E6,,14050,,,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8E6A1,,14050,,,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8E??,RRJ (candidate engine),,,,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-10A,ARJ21-700/-900,18000,,,,,,,,,,,,,2,1,3B,9,1,,4,,,,
GE,CF34-10A16,,17640,,,,,,,,,,,,,2,1,3B,9,1,,4,,158.6,79.3,4644
GE,CF34-10D5,928-100 (not produced),17355,,0.38,,,29,,5,,,,,,2,1,3B,9,1,,4,,90,57,3800
GE,CF34-10D6,928-200 (not produced),18750,,0.38,,,29,,5,,,,,,2,1,3B,9,1,,4,,90,57,3800
GE,CF34-10E2A1,,16960,,,,,,,,,,,,,2,1,3B,9,1,,4,,177.93,86.59,4584
GE,CF34-10E5,"E190/190LR, E195/195LR",18820,,0.38,,,,,,,,,,,2,1,3B,9,1,,4,,177.93,86.59,4584
GE,CF34-10E5A1,"E190/190LR/190SR, E195/195LR",18820,,0.38,,,,,,,,,,,2,1,3B,9,1,,4,,177.93,86.59,4584
GE,CF34-10E6,"E190/190LR, E195/195LR",18820,,,,,,,,,,,,,2,1,3B,9,1,,4,,177.93,86.59,4584
GE,CF34-10E6A1,"E190/190LR, E195/195LR",18820,,,,,,,,,,,,,2,1,3B,9,1,,4,,177.93,86.59,4584
GE,CF34-10E7,"E190/190LR/190SR, E195/195LR",20360,,,,,,,,,,,,,2,1,3B,9,1,,4,,177.93,86.59,4584
GE,CF34-10E7-B,Lineage 1000,20360,,,,,,,,,,,,,2,1,3B,9,1,,4,,177.93,86.59,4584
GE,CF700-2B,Falcon 20,,,,,84,,,1.9,,,,,,2,1 aft,,8,2,,1,,53.6,33.2,
GE,CF700-2C,Falcon 20C,4200,,0.652,,84,6.9,,1.9,,,,,,2,1 aft,,8,2,,1,,53.6,33.1,765
GE,CF700-2D,"Mystere 20, Falcon 20D",4325,,0.652,,84,6.2,,1.9,,,,,,2,1 aft,,8,2,,1,,53.6,33.1,799
GE,CF700-2D2,"Falcon 20E/F, Sabreliner 75A/80A",4500,,0.643,,84,6.9,,1.9,,,,,,2,1 aft,,8,2,,1,,53.6,33.1,829
GE,CJ610-1,"Learjet 23, HFB 320, 1121A Commdore",2850,,0.99,,44,,,,,,,,,1,,,8,2,,,,50.4,17.6,403
GE,CJ610-2B,HFB 320,2400,,,,,,,,,,,,,1,,,8,2,,,,51.1,17.7,399
GE,CJ610-4,"Learjet 23/24A, ViperJet",2850,,0.99,,44,,,,,,,,,1,,,8,2,,,,50.4,17.6,393
GE,CJ610-5,"HFB 320, 1121B/1122 Commodore",2950,,0.98,,44,6.8,,,,,,,,1,,,8,2,,,,50.4,17.6,406
GE,CJ610-6,"Learjet 24B/D, Learjet 24C (not produced)",2950,,0.98,,44,6.8,,,,,,,,1,,,8,2,,,,50.4,17.6,418
GE,CJ610-8,HFB 320,3100,,,,44,,,,,,,,,1,,,8,2,,,,40.5,17.6,411
GE,CJ610-8A,Learjet 24E/F/25B/25C/25D/28/29,2950,,,,44,,,,,,,,,1,,,8,2,,,,40.5,17.6,433
GE,CJ610-9,"HFB 320, 1123 Commodore",3100,,1,,44,6.8,,,,,,,,1,,,8,2,,,,40.5,17.6,421
GE,CJ805-3,Convair CV-880,11200,,,,,,,,,,,,,2,1 aft,,17,3,,1,,110.4,48.8,2850
GE,CJ805-3A,Convair CV-880-22,11200,,,,,,,,,,,,,2,1 aft,,17,3,,1,,110.4,48.8,2850
GE,CJ805-3B,Convair CV-880-22M,11650,,,,,,,,,,,,,2,1 aft,,17,3,,1,,110.4,48.8,2875
GE,CJ805-11,,,,,,,,,,,,,,,2,1 aft,,17,3,,1,,,,
GE,CJ805-13,,,,,,,,,,,,,,,2,1 aft,,17,3,,1,,,,
GE,CJ805-23,,15850,,,,,,,,,,,,,2,1 aft,,17,3,,1,,130.6,56,3810
GE,CJ805-23A,,15850,,,,,,,,,,,,,2,1 aft,,17,3,,1,,130.6,56,3810
GE,CJ805-23B,Convair CV-990/-990A,16100,,0.53,,171,13,,,,,,,,2,1 aft,,17,3,,1,,130.6,56,3810
GE,CJ805-23C,Caravelle 7/10A,16100,,,,,,,,,,,,,2,1 aft,,17,3,,1,,130.6,56,3810
GE,GE1,Technology demonstrator,5000,,0.7,,77,11,,,,,,,,1,,,14,2,,,,,,
GE,GE4/F6A,,27200,45000,,,550,11,2.2,1.1,,,,,,,,,,,,,,,,7670
GE,GE4/J4C,,38900,58100,,,475,9.5,,,,,,,,,,,,,,,,,,8351
GE,GE4/J5P,B-2707-200/-300 (not produced),50000,63200,1.04,1.86,646,12.5,,,,,,,1497,1,,,9,2,,,,308,89.5,11300
GE,GE39,Technology demonstrator,,,,,,,,,,,,,,2,2 UDF,,,,,,,,,
GE,GE90-76B,777-200,81070,,,,,39.3,1.65,8.4,17500,0.545,0.83,35000,,2,1,3B,10,2,,6,123,286.9,155.6,17400
GE,GE90-77B,777-200,81700,,,,,39.3,1.65,8.4,,,,,,2,1,3B,10,2,,6,123,286.9,155.6,17400
GE,GE90-85B,777-200,88870,,,,,39.3,1.65,8.4,17500,0.52,0.83,35000,,2,1,3B,10,2,,6,123,286.9,155.6,17400
GE,GE90-90B,777-200,94000,,,,,40,1.65,8.4,,,,,,2,1,3B,10,2,,6,123,286.9,155.6,17400
GE,GE90-92B,777-200 (option),92000,,,,,40,1.65,8.3,,,,,,2,1,3B,10,2,,6,123,286.9,155.6,17400
GE,GE90-94B,777-200,97300,,,,,40,1.65,,,,,,,2,1,3B,10,2,,6,123,286.9,155.6,17400
GE,GE90-110B1,"777-200LR/777F, 777-300ER (option)",110760,,,,,,,,,,,,,2,1,??,??,??,,??,123,286.9,155.6,19316
GE,GE90-113B,,113530,,,,,,,,,,,,,2,1,??,??,??,,??,123,286.9,155.6,19316
GE,GE90-115B,777-200LR/-300ER/777F,115540,,,,,42,,,,,,,,2,1,4B,9,2,,6,123,286.9,155.6,19316
GE,GE9X-105B1A,777-8/-9/-10X,105000,,,,,60,,10,,,,,,2,1,3,11,2,,6,134,,,
GE,GEnx-1B54,787-3 (proposed),57400,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B54/P1,787-3 (proposed),57400,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B54/P2,787-3 (proposed),57400,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B58,787-3 (proposed),61000,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B58/P2,787-3 (proposed),61000,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B64,787-8,67000,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B64/P1,787-8,67000,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B64/P2,787-8,67000,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B67,787-8/-9,69400,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B67/P1,787-8,69400,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B67/P2,787-8/-9,69400,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B70,787-8/-9,72300,,,,2559,53.3,,9,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B70/P1,787-8/-9,72300,,,,2559,53.3,,9,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B70/P2,787-8/-9,72300,,,,2559,53.3,,9,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B70C/P1,787-8/-9,72300,,,,2559,53.3,,9,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B70C/P2,787-8/-9,72300,,,,2559,53.3,,9,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B70/75/P1,787-8,,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B70/75/P2,787-8/-9,,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B72/P1,,72300,,,,2559,53.3,,9,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B74,787-9,76700,,,,2624,55.4,,8.8,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B74/75/P1,787-9,,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B74/75/P2,787-9/-10,,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B75,787-9,76700,,,,2624,55.4,,8.8,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B75/P1,787-9,77604,,,,,,,8.8,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B75/P2,787-9,77604,,,,,,,8.8,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B76,787-10,76100,,,,2658,58.1,,8.8,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B76/P2,787-10,78500,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B76A/P2,787-9/-10,78500,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-1B78/P2,,80392,,,,,,,,,,,,,2,1,4,10,2,,7,,194.9,139.1,13552
GE,GEnx-2B67,747-8,67400,,,,,,,,,,,,,2,1,3,10,2,,6,,185,127.3,12397
GE,GEnx-2B67/P,747-8,67400,,,,,,,,,,,,,2,1,3,10,2,,6,,185,127.3,12397
GE,GEnx-2B67B,747-8,67400,,,,2297,52.4,,8,,,,,,2,1,3,10,2,,6,,185,127.3,12397
GE,I-A,Technology demonstrator,1250,,,,,3,,,,,,,,1,,,1,1,,,,70.5,44,780
GE,J85/J1,"FH-V4, FH-V6 (not produced)",3600,5000,0.95,,53,8.3,,,,,,,,1,,,9,2,,,,,,
GE,J97-GE-17,O4-1B (not produced),11760,,,,,,,,,,,,,,,,,,,,,,,
GE,Passport 20-17BB1A,,17745,,,,,45,,5.6,,,,,,2,1,3,10,2,,4,52,132.5,54.32,4554
GE,Passport 20-18BB1A,,18435,,,,,45,,5.6,,,,,,2,1,3,10,2,,4,52,132.5,54.32,4554
GE,Passport 20-19BB1A,Global 7500/8000,18920,,,,,45,,5.6,,,,,,2,1,3,10,2,,4,52,132.5,54.32,4554
GE Honda Aero,HF120,"Citation CJ/CJ1/CJ1+, S-40",2095,,,,,24,,2.9,,,,,,2,1,,2,1,,2,,59.5,30.5,466
GE Honda Aero,HF120-H1A,HondaJet,2095,,,,,24,,2.9,,,,,,2,1,,2,1,,2,,59.5,30.5,466
Honeywell,FX5,Falcon 7X (candidate engine),6000,,,,,,,,,,,,,,,,,,,,,,,
Honeywell,HTF7000,(see Allied Signal AS907-1-1A),,,,,,,,,,,,,,,,,,,,,,,,
Honeywell,HTF7250G,(see Allied Signal AS907-2-1G),,,,,,,,,,,,,,,,,,,,,,,,
Honeywell,HTF7350,(see Allied Signal AS907-2-1A),,,,,,,,,,,,,,,,,,,,,,,,
Honeywell,HTF7500E,(see Allied Signal AS907-3-1E),,,,,,,,,,,,,,,,,,,,,,,,
Honeywell,HTF7700L,(see Allied Signal AS907-2-1S),,,,,,,,,,,,,,,,,,,,,,,,
Instytut Lotnictwa,D-18A,,3968,,0.74,,,8,2.07,0.7,,,,,,2,2,,5,1,,1,,76.4,35.4,838
Instytut Lotnictwa,K-15,I-22,3307,,1.006,,52,5.3,,,,,,,,1,,,6,1,,,,61.4,35.1,705
International Aero Engines,V2500 SuperFan,(cancelled),30000,,,,,,,17.5,,,,,,2,1,3,10,2,,3,,,,
International Aero Engines,V2500-A1,A320-231,24800,,0.35,,783,29.4,1.65,5.4,,,,,,2,1,3B,10,2,,5,63.5,126.0**,67.5,5300
International Aero Engines,V2522-A5,A319-131,23040,,0.34,,738,25.2,,4.9,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,5300
International Aero Engines,V2522-D5,MD-90-10 (not produced),22000,,0.34,,848,25.2,,4.9,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,
International Aero Engines,V2524-A5,A319-132/-132CJ,24480,,0.36,,772,27.1,,4.9,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,5300
International Aero Engines,V2525-D5,MD-90-30,25000,,0.35,,784,27.7,,4.8,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,5720
International Aero Engines,V2527-A5,"A319-133CJ/-133XCJ, A320-232",24800,,0.36,,784,27.7,,4.8,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,5300
International Aero Engines,V2527E-A5,A320-233,24800,,,,,,,,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,5300
International Aero Engines,V2527M-A5,A319-133/-133CJ/-133XCJ,24800,,,,,,,,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,5300
International Aero Engines,V2528-D5,MD-90-30/-30ER,28000,,0.35,,825,30.4,,4.7,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,5720
International Aero Engines,V2530-A5,A321-131/-232,29900,,0.36,,849,31.6,,4.6,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,5300
International Aero Engines,V2530-D5,MD-90-50 (not produced),31600,,0.36,,,31.6,,4.6,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,
International Aero Engines,V2531-E5,,31330,,,,,,,,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,5300
International Aero Engines,V2533-A5,A321-231,31600,,0.37,,872,35.2,1.79,4.5,,,,,,2,1,4B,10,2,,5,63.5,126.0**,67.5,5300
Ivchenko (Klimov),AI-25,Yak-40,3300,,0.57,,33,8,1.7,2.1,976,0.795,0.5,20000,,2,3,,8,1,,2,,78.5,35.3,705
Ivchenko (Klimov),AI-25A,Yak-40A,3850,,,,,,1.7,2.1,,,,,,2,3,,8,1,,2,,,,
Kuznetsov,NK-8-2,Tu-154,20944,,0.579,,462,21.5,2.15,1,,,,,,2,2,2B,6,1,,2,,187.5,56.8,4629
Kuznetsov,NK-8-2U,Tu-154A/B,23150,,0.569,,503,23.2,2.15,1.05,,,,,,2,2,2B,6,1,,2,,187.5,56.8,4629
Kuznetsov,NK-8-3,Il-62,20950,,,,,,,,,,,,,2,2,2B,6,1,,2,,,,
Kuznetsov,NK-8-4,Il-62,23150,,0.588,,489,23.2,2.15,1.02,,,,,,2,2,2B,6,1,,2,,201,56.8,4629
Kuznetsov,NK-8-6,(see NK-86),,,,,,,,,,,,,,,,,,,,,,,,
Kuznetsov,NK-44,,,,,,,,,,,,,,,,,,,,,,,,,
Kuznetsov,NK-44K,,,,,,,,,,,,,,,,,,,,,,,,,
Kuznetsov,NK-86,Il-86,28660,,,,644,13.4,,1.15,,,,,,2,2,2B,6,1,,2,,143,63,5401
Kuznetsov,NK-93,"Il-96M, Tu-204-230, Tu-330 (proposed)",39683,,0.235,,2205,37,1,16.6,,,,,,3,2 DPF,7,8,1,1,3,114.2,235.1,,8047
Kuznetsov,NK-144,Tu-144/-144D/-144LL,28660,38580,,,551,14.2,,0.6,,,,,,2,2,3B,11,1,,2,,,,
Kuznetsov,NK-144A,Tu-144S (not produced),33070,40000,,,,17,,0.53,,,,,,2,2,3B,11,1,,2,,,,
Kuznetsov,NK-321,Tu-144,30843,55077,,,805,28.4,,1.4,,,,,,3,3,5,7,1,1,2,,236,57.5,7588
Lotarev (Motor Sich),D-18T,"An-124-100, An-225",51660,,0.36,,1687,25,,5.6,10716,0.57,0.75,36100,,3,1,7,7,1,1,4,91.7,212.6,115.6,9039
Lotarev (Motor Sich),D-18T-1,An-218-100,48148,,,,,,,5.6,11596,0.615,0.8,36100,,3,1,7,7,1,1,4,91.7,212.6,115.6,9039
Lotarev (Motor Sich),D-18T-3,An-124-100M (proposed),51660,,,,,,,,,,,,,3,1,7,7,1,1,4,91.7,212.6,115.6,9039
Lotarev (Progress),D-18TM,An-218 (proposed),55777,,,,1698,,,5.5,,,,,,3,1,7,7,1,1,3,,224.5,117.6,10472
Lotarev (Progress),D-18TR,An-218-200/-300 (proposed),60627,,,,,,,,,,,,,3,1,7,7,1,1,3,,224.5,117.6,10472
Lotarev (PSLM),DV-2,Il-208 (not produced),4850,,,,,,,,,,,,,2,1,2,7,1,,2,,,,
Lotarev (PSLM),DV-2S,(see military turbofan specifications),5508,,0.593,,,15.5,,1.4,,,,,,2,1,2,7,1,,2,,,,
Lyulka (Saturn),AL-5,Tu-110,12125,,,,,10,,1,,,,,,2,2,2B,6,1,,2,,,,
Maverick,MC-750,MC-2400 Legend,750,,,,,,,,,,,,,1,,,10,2,,,,,,
Mikulin,RD-3,Tu-104,14881,,,,,,,,,,,,,,,,,,,,,,,
Mikulin,RD-3M,Tu-104A/D/V,19180,,,,,,,,,,,,,,,,,,,,,,,
Mikulin,RD-3M-500,Tu-104B,21385,,,,,,,,,,,,,,,,,,,,,,,
Napier,Oryx NOr.1,P.74,,,,,,,,,,,,,,1,,,12,2,,,,83.5,19.3,495
Napier,Oryx NOr.5,,950,,,,,,,,,,,,,1,,,12,2,,,,83.5,19.3,515
Pirna,014-A0,Prototype,6900,,,,,,,,,,,,1050,1,,,12,2,,,,135.7,39,2340
Pirna,014-A1,Baade 152,7300,,,,,,,,,,,,1070,1,,,12,2,,,,,,
Pirna,014-C,,7300,,,,,,,,,,,,1070,1,,,12,2,,,,,,
Pirna,16,,7700,,,,,,,,,,,,1035,1,,,12,3,,,,,,
Pirna,20,,,,,,,,,,,,,,,1,,,12,3,,,,,,
Pratt Whitney,J60-P-3A,S-69,3000,,0.96,,50,6.5,,,,,,,,1,,,9,2,,,,,22,448
Pratt Whitney,JT3C-1,Prototype,,,,,,,,,,,,,,2,,9,7,1,,2,,,,
Pratt Whitney,JT3C-2,DC-8-11/-12,11200,13750,,0.95,,,,,,,,,,2,,9,7,1,,2,38.8,138.6,38.9,3870
Pratt Whitney,JT3C-4,"707-120, 720",11200,11500,,,,,,,,,,,,2,,9,7,1,,2,38.8,138.6,38.9,4234
Pratt Whitney,JT3C-5,,11200,,,,,,,,,,,,,2,,9,7,1,,2,38.8,138.6,38.9,
Pratt Whitney,JT3C-6,"707-120, DC-8-11/-12",11200,13500,0.775,,,,,,,,,,,2,,9,7,1,,2,38.8,138.6,38.9,4234
Pratt Whitney,JT3C-7,"720, 720F",12000,,0.785,,187,13,,,,,,,,2,,9,7,1,,2,38.8,138.6,38.9,3495
Pratt Whitney,JT3C-10,DC-8-12,,,,,,,,,,,,,,2,,9,7,1,,2,38.8,138.6,38.9,
Pratt Whitney,JT3C-12,"720, 720F, 707-120 (option)",13000,,,,,,,,,,,,,2,,9,7,1,,2,38.8,138.6,,3550
Pratt Whitney,JT3D-1,"707-120B/-120BF/-320B, 720B, 720BF, DC-8-51/-52/-53/-54/-55/-55F/-61",17000,,0.52,,450,12.5,,1.4,,,,,,2,2,6B,7,1,,3,53.1,136.3,53,4145
Pratt Whitney,JT3D-1 (HK),707-120B,17000,,0.52,,450,12.5,,1.4,,,,,,2,2,6B,7,1,,3,53.1,136.3,53,
Pratt Whitney,JT3D-1 (HK3),707-120B,17000,,0.52,,450,12.5,,1.4,,,,,,2,2,6B,7,1,,3,53.1,136.3,53,
Pratt Whitney,JT3D-1 (Q),707-120B,17000,,0.52,,450,12.5,,1.4,,,,,,2,2,6B,7,1,,3,53.1,136.3,53,
Pratt Whitney,JT3D-2,(see military turbofan specifications TF33-P-3),,,,,,,,,,,,,,,,,,,,,,,,
Pratt Whitney,JT3D-3,"707-120B/-320B/-320C, 720B, DC-8-51/-51F/-52/-52F/-53/-53F/-54/-54F/-55/-55F/-61/-61F/-62F (option)",18000,,0.535,,,,,,,,,,,2,2,6B,7,1,,3,,,53,4190
Pratt Whitney,JT3D-3A,,,,,,,,,,,,,,,2,2,6B,7,1,,3,,,,
Pratt Whitney,JT3D-3B,"707-120B/-320B/-320BH/-320C/-320CH, 720B, 720BF, DC-8-51/-52/-53/-53F/-54/-55/-55F/-61/-62/-62F/-63/-63F",18000,,0.51,,450,13,1.66,1.4,,,,,,2,2,6B,7,1,,3,53.1,145.5,53,4340
Pratt Whitney,JT3D-3B (HK),"707-120B/-320B/-320BH/-320C/-320CH, 720B, 720BF, DC-8-51/-51F/-52/-53/-53F/-54/-55/-55F/-61/-62F(AF)/-63/-63F",18000,,0.51,,450,13,1.66,1.4,,,,,,2,2,6B,7,1,,3,53.1,,53,
Pratt Whitney,JT3D-3B (HK2),"707-320B/-320C, DC-8-51/-51F/-52F/-54F/-55F/-61F/-62F(CF)",18000,,0.51,,450,13,1.66,1.4,,,,,,2,2,6B,7,1,,3,53.1,,53,
Pratt Whitney,JT3D-3B (HK3),"707-320B, DC-8-51/-51F/-52/-54F/-55F/-61/-61F/-62/-62F/-62F(AF)/-62F(CF)",18000,,0.51,,450,13,1.66,1.4,,,,,,2,2,6B,7,1,,3,53.1,,53,
Pratt Whitney,JT3D-3B (Q),"707-120B, DC-8-51/-51F/-52/-52F/-54/-55/-55F/-61/-61F(AF)/-62/-62F(CF)",18000,,0.51,,450,13,1.66,1.4,,,,,,2,2,6B,7,1,,3,53.1,,53,
Pratt Whitney,JT3D-3C,,18000,,0.51,,450,13,1.66,1.4,,,,,,2,2,6B,7,1,,3,53.1,136.3,53,4340
Pratt Whitney,JT3D-5,(see military turbofan specifications TF33-P-7),,,,,,,,,,,,,,,,,,,,,,,,
Pratt Whitney,JT3D-5A,,21000,,,,,,,,,,,,,2,2,7B,7,1,,3,53.1,142.58,53,4675
Pratt Whitney,JT3D-7,"707-320B/-320C, DC-8-62/-62F/-63/-63F",19285,,0.52,,472,13.5,1.82,1.43,,,,,,2,2,7B,7,1,,3,53.1,136.3,53,4340
Pratt Whitney,JT3D-7 (HK),707-320B/-320C,19285,,0.52,,472,13.5,1.82,1.43,,,,,,2,2,7B,7,1,,3,53.1,,53,
Pratt Whitney,JT3D-7 (HK2),707-320B/-320C,19285,,0.52,,472,13.5,1.82,1.43,,,,,,2,2,7B,7,1,,3,53.1,,53,
Pratt Whitney,JT3D-7 (HK3),"707-320B/-320C, DC-8-62/-62F/-62F(AF)/-62F(CF)/-63/-63F/-63F(CF)",19285,,0.52,,472,13.5,1.82,1.43,,,,,,2,2,7B,7,1,,3,53.1,,53,
Pratt Whitney,JT3D-7 (Q),DC-8-62F/-63F/-63F(AF),19285,,0.52,,472,13.5,1.82,1.43,,,,,,2,2,7B,7,1,,3,53.1,,53,
Pratt Whitney,JT3D-7A,,19285,,0.52,,472,13.5,1.82,1.43,,,,,,2,2,7B,7,1,,3,53.1,136.3,53,4340
Pratt Whitney,JT4A-3,"707-220, DC-8-21/-21F/-31/-32/-33 (option)",15800,,0.77,,,,,,,,,,,2,,8,7,1,,2,42.5,188.8,58.5,5020
Pratt Whitney,JT4A-5,"707-220, DC-8-21/-21F/-31/-32/-33 (option)",15800,,0.77,,,,,,,,,,,2,,8,7,1,,2,42.5,188.8,58.5,5020
Pratt Whitney,JT4A-7,707-320 (option),15800,,0.77,,,,,,,,,,,2,,8,7,1,,2,,,,
Pratt Whitney,JT4A-9,"707-220, 707-320, DC-8-21/-21F/-31/-32/-33F/-33F(AF) (option)",16800,,0.81,,,,,,,,,,,2,,8,7,1,,2,42.5,188.8,58.5,5050
Pratt Whitney,JT4A-10,"707-220, 707-320, DC-8-21/-21F/-31/-32/-33F/-33F(AF) (option)",16800,,0.81,,,,,,,,,,,2,,8,7,1,,2,42.5,188.8,58.5,5050
Pratt Whitney,JT4A-11,"DC-8-33F/-33F(AF), 707-320 (option)",17500,,0.84,,256,12.5,,,,,,,,2,,8,7,1,,2,42.5,188.8,58.5,5100
Pratt Whitney,JT4A-12,"707-320/-320F, DC-8-21/-31/-32/-33F (option)",17500,,0.84,,256,12.5,,,,,,,,2,,8,7,1,,2,42.5,188.8,58.5,5100
Pratt Whitney,JT8D-1,"Caravelle 10B1R/10B3, DC-9-15",14000,,0.585,,315,15.4,1.9,1.06,,,,,,2,2,4B,7,1,,3,42.5,123.5,42.5,3205
Pratt Whitney,JT8D-1A,,14000,,0.585,,315,15.4,1.9,1.06,,,,,,2,2,4B,7,1,,3,42.5,123.5,42.5,3205
Pratt Whitney,JT8D-1B,,14000,,0.585,,315,15.4,1.9,1.06,,,,,,2,2,4B,7,1,,3,42.5,123.5,42.5,3205
Pratt Whitney,JT8D-3,(see military turbofan specifications TF33-P-102),,,,,,,,,,,,,,,,,,,,,,,,
Pratt Whitney,JT8D-5,DC-9-11,12250,,0.565,,,,,,,,,,,2,2,4B,7,1,,3,42.5,123.5,42.5,3205
Pratt Whitney,JT8D-7,"727-100/-100C/-100QC/-100F/-200/-200F, 737-100/-200A/-200CA, DC-9-15/-15F(RC)/-31, Caravelle 10B1R/10B3/11R",14000,,0.585,,315,15.8,1.93,1.07,4270,0.796,0.8,30000,,2,2,4B,7,1,,3,42.5,123.5,42.5,3205
Pratt Whitney,JT8D-7 (HK3),"727-100/-100C, DC-9-15/-15F(RC)",14000,,0.585,,315,15.8,1.93,1.07,4270,0.796,0.8,30000,,2,2,4B,7,1,,3,42.5,,42.5,
Pratt Whitney,JT8D-7A,"727-100/-100C/-100QC/-100F/-200, 737-100/-200, DC-9-14/-15/-15F(MC)/-31/-31",14000,,0.585,,315,15.8,1.93,1.07,4270,0.796,0.8,30000,,2,2,4B,7,1,,3,42.5,123.5,42.5,3205
Pratt Whitney,JT8D-7A (HK3),"727-100/-100C, DC-9-15/-15F(RC)/-32",14000,,0.585,,315,15.8,1.93,1.07,4270,0.796,0.8,30000,,2,2,4B,7,1,,3,42.5,,42.5,
Pratt Whitney,JT8D-7B,"727-100/-100C/-100F/-200/-200A/-200F, 737-100/-200, DC-9-14/-15/-15F(MC)/-15F(RC)/-31/-31F/-32",14000,,0.585,,315,15.8,1.93,1.07,4270,0.796,0.8,30000,,2,2,4B,7,1,,3,42.5,123.5,42.5,3205
Pratt Whitney,JT8D-7B (HK),727-200F,14000,,0.585,,315,15.8,1.93,1.07,4270,0.796,0.8,30000,,2,2,4B,7,1,,3,42.5,,42.5,
Pratt Whitney,JT8D-7B (HK3),"727-100/-100C/-100F/-200/-200A/-200AF/-200F, 737-200, DC-9-14/-15/-15F(MC)/-15F(RC)/-31/-32/-32F",14000,,0.585,,315,15.8,1.93,1.07,4270,0.796,0.8,30000,,2,2,4B,7,1,,3,42.5,,42.5,
Pratt Whitney,JT8D-7B (Q),727-100/-100F,14000,,0.585,,315,15.8,1.93,1.07,4270,0.796,0.8,30000,,2,2,4B,7,1,,3,42.5,,42.5,
